SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
X3759,Prn,-7.65893,-10.2166,36.5762,-7.65893,-10.2166,36.5762
Y1658,Ft,-77.0274,38.5674,57.2775,-76.40506881,39.35648257,57.27776883
Y1658,Ex,-56.2804,15.8262,71.55,-56.87362823,13.81452872,71.98159115
Y1658,En,-26.6777,11.4416,79.3207,-27.05941716,12.73738246,80.71292362
Y1658,Al,-28.6132,-26.3761,79.4795,-27.9180344,-26.83334374,78.85536337
Y1658,Sbal,-21.0494,-29.49,85.3897,-18.48319648,-28.36822741,86.33677914
Y1658,Ch,-39.1582,-54.5424,72.1011,-38.11233394,-54.83101229,72.08505068
Y1658,Prn,-9.55918,54.4115,102.464,-9.55918,54.4115,102.464
Z4828,Ft,-47.2952,74.6697,-18.8067,-47.06524849,74.67190939,-18.33634158
Z4828,Ex,-31.1605,36.7841,-1.3799,-31.05106075,36.97473147,-0.637744451
Z4828,En,1.37549,35.6437,9.72913,1.473148464,35.65443605,9.965268687
Z4828,Al,-2.81794,-2.52462,20.3213,-3.298991839,-2.947593304,19.16986027
Z4828,Sbal,0.777727,-10.3528,15.7272,-1.168372869,-9.619136564,16.43204655
Z4828,Ch,-10.8147,-30.9821,7.29081,-9.123296225,-30.39765059,6.476157196
Z4828,Prn,11.775,2.06879,44.1574,11.775,2.06879,44.1574
A7666,Ft,-49.6156,50.0192,52.5181,-50.54651365,50.16248248,52.62857474
A7666,Ex,-36.8372,16.7585,64.087,-37.49000974,16.61875913,63.02824702
A7666,En,-4.05999,14.0683,77.8372,-3.437611819,13.0200686,76.32429262
A7666,Al,-7.75395,-24.7455,80.681,-7.943756403,-24.34058531,81.22198495
A7666,Sbal,-1.52698,-30.0571,87.2596,-1.288390785,-29.51828984,86.0664613
A7666,Ch,-17.4125,-52.499,72.8622,-17.88113229,-51.95891908,73.09747077
A7666,Prn,10.8906,-21.2609,106.763,10.8906,-21.2609,106.763
B3545,Ft,-42.9033,46.9506,30.5421,-40.43873061,45.61000492,29.66685308
B3545,Ex,-24.4531,24.1111,48.4367,-21.9559365,22.91845137,49.8250672
B3545,En,1.71054,23.1216,53.4483,1.155917894,24.98507015,52.62994507
B3545,Al,0.454466,-11.8232,55.9533,1.594462152,-10.71394077,56.62855878
B3545,Sbal,8.89605,-21.9666,61.3313,8.644023081,-22.96369957,63.17944554
B3545,Ch,-5.21656,-42.1368,44.2341,-4.911729581,-42.45693767,44.10121678
B3545,Prn,16.6514,-12.2559,79.3075,16.6514,-12.2559,79.3075
C2088,Ft,-47.473,56.9603,1.46547,-47.40810443,56.56913304,-0.159777566
C2088,Ex,-32.9443,32.4323,16.3005,-33.75193049,33.41424897,15.56221151
C2088,En,-4.49764,29.9786,23.7922,-3.839705382,31.00596884,25.46331372
C2088,Al,-6.06117,-8.67744,25.144,-5.530320949,-8.881191543,25.63038679
C2088,Sbal,1.88001,-9.66295,31.1242,1.909972177,-9.706282886,30.92631014
C2088,Ch,-12.3805,-33.8449,13.2741,-12.82803421,-33.50021432,12.42252482
C2088,Prn,12.2298,-0.838043,50.5528,12.2298,-0.838043,50.5528
D0960,Ft,-47.2716,68.8598,37.1751,-46.13276449,68.51317177,37.22405347
D0960,Ex,-32.2349,39.5239,49.8446,-31.1505062,40.28380271,51.04219993
D0960,En,-1.07307,37.6857,57.3345,-0.311210817,36.47026239,57.03639964
D0960,Al,-1.22007,-1.9846,64.6996,-1.01637558,-0.803387658,64.24329843
D0960,Sbal,1.40635,-1.24734,70.2771,4.810470687,0.634092911,69.51535057
D0960,Ch,-11.9027,-24.5099,56.2385,-11.44607232,-25.69816437,57.07716407
D0960,Prn,11.7703,5.69614,88.5824,11.7703,5.69614,88.5824
A1286,Ft,-42.6259,53.9465,6.14495,-42.58599332,54.1419902,6.41933862
A1286,Ex,-27.1306,30.4064,19.5023,-27.06471247,30.12364676,19.71992923
A1286,En,1.54528,27.3449,26.7726,2.545021694,26.48049069,27.31534314
A1286,Al,-0.0524611,-15.3445,37.0134,-1.422447506,-14.92467562,37.15409295
A1286,Sbal,7.0517,-16.4979,41.6443,4.836958495,-16.56521559,42.36321367
A1286,Ch,-7.3681,-41.2942,31.4181,-6.845717789,-40.07467056,31.19663858
A1286,Prn,20.0945,-7.29327,60.8715,20.0945,-7.29327,60.8715
B6409,Ft,-72.0696,11.3119,63.3152,-71.71720877,11.73550279,64.1484306
B6409,Ex,-62.1617,-12.0461,72.0931,-62.65028746,-12.41587009,70.59383254
B6409,En,-32.7834,-13.3727,79.8398,-31.71482947,-12.60403048,78.51588184
B6409,Al,-33.9078,-49.4626,82.8537,-34.70268783,-49.24051771,83.21375674
B6409,Sbal,-27.2866,-53.9112,89.0467,-27.10682404,-56.0523877,89.22614677
B6409,Ch,-41.4977,-72.1725,71.0126,-41.77917369,-72.44651429,72.30556548
B6409,Prn,-17.3587,-48.5302,107.386,-17.3587,-48.5302,107.386
C6558,Ft,-71.5828,38.8786,77.824,-71.02034933,39.62395242,79.28247711
C6558,Ex,-55.1863,20.1659,96.2682,-55.61537027,20.08823992,95.20845447
C6558,En,-25.1986,17.7122,102.271,-27.07353313,16.81620726,102.2974911
C6558,Al,-28.5492,-19.7135,106.016,-29.34957593,-18.83346528,105.695881
C6558,Sbal,-24.5,-24.2313,110.215,-23.50004187,-23.57077899,109.782197
C6558,Ch,-37.4561,-43.7922,96.5039,-38.56113032,-42.95294682,96.68441649
C6558,Prn,-10.6726,-19.8342,133.558,-10.6726,-19.8342,133.558
D0889,Ft,-15.4201,61.0068,20.0551,-14.42627978,58.91941727,20.37194714
D0889,Ex,3.55376,31.1411,35.4141,2.682461543,32.331838,35.27111223
D0889,En,32.243,29.3168,42.364,31.63095445,29.54576425,43.91160627
D0889,Al,32.7344,-13.3821,42.644,34.10057616,-13.94567323,43.67735987
D0889,Sbal,39.0603,-17.6484,50.4574,39.44399204,-17.29775364,48.64069652
D0889,Ch,23.8857,-37.9485,38.8849,23.03243896,-38.27622498,38.45805499
D0889,Prn,48.2099,-6.94896,70.1383,48.2099,-6.94896,70.1383
E8225,Ft,-41.7338,33.3413,63.6947,-42.38444859,32.06183488,64.3976078
E8225,Ex,-29.0233,12.2319,81.1201,-27.62112305,12.5634922,82.42088211
E8225,En,1.42101,10.4092,91.5553,2.111407892,11.29164619,91.86868898
E8225,Al,0.186914,-31.013,92.849,0.218796704,-29.56837155,92.58833408
E8225,Sbal,6.58152,-33.6467,99.4923,5.52915408,-33.95198957,100.3863505
E8225,Ch,-10.8989,-52.5875,77.9867,-12.30316072,-51.63241069,78.50439107
E8225,Prn,18.3016,-26.7839,118.614,18.3016,-26.7839,118.614
F0531,Ft,-78.8372,123.532,2.13153,-78.68038228,124.5457885,3.409433062
F0531,Ex,-63.8157,100.415,23.2138,-65.2698613,101.7806877,23.74800391
F0531,En,-33.2382,95.905,31.5561,-31.97190524,96.43782036,31.49482996
F0531,Al,-35.882,61.5754,36.5708,-34.85220683,62.50689628,36.76668716
F0531,Sbal,-28.2284,57.4591,44.3983,-26.3424158,57.65991782,43.00687948
F0531,Ch,-42.4228,32.8783,32.6405,-42.08907953,31.55764212,32.43842001
F0531,Prn,-17.8567,66.7581,59.3386,-17.8567,66.7581,59.3386
G8682,Ft,-82.6101,96.3684,23.3782,-83.63264228,96.38165343,23.7454245
G8682,Ex,-62.8952,63.3114,44.0813,-62.91761628,61.57341565,44.12438798
G8682,En,-33.8974,58.6476,48.84,-32.1107467,57.78083478,48.98910117
G8682,Al,-33.626,16.9811,49.6187,-33.05202341,17.72655278,49.73012522
G8682,Sbal,-24.786,14.76,54.8285,-23.3669359,16.23902197,53.8820419
G8682,Ch,-35.9975,-9.6724,47.5519,-35.31172642,-10.59384443,46.21175109
G8682,Prn,-12.0857,22.7375,72.9281,-12.0857,22.7375,72.9281
H0457,Ft,-69.1906,42.6667,63.7169,-69.44590522,41.62516624,64.06016219
H0457,Ex,-57.4475,18.9764,65.0039,-57.8988869,19.91398591,66.07270435
H0457,En,-26.6039,15.198,73.8388,-26.89962531,13.87606493,73.3304948
H0457,Al,-25.476,-24.4078,71.1917,-24.00783173,-25.72558324,70.98066367
H0457,Sbal,-18.056,-26.536,78.8795,-17.99211741,-26.1596818,78.45596302
H0457,Ch,-34.499,-47.6736,66.2958,-35.47878321,-47.59880471,68.47152797
H0457,Prn,-11.1173,68.0174,102.151,-11.1173,68.0174,102.151
I0524,Ft,-39.3827,124.085,101.36,-39.7428063,123.4976093,102.8983071
I0524,Ex,-28.0032,94.5937,117.997,-28.19921189,93.36259673,118.3369633
I0524,En,0.51722,90.2856,126.03,0.730152119,91.90109629,126.9418423
I0524,Al,-1.45743,54.6207,128.257,-1.546255396,54.59577531,127.6299742
I0524,Sbal,8.21383,50.7179,135.191,8.553536499,51.15610377,134.9317608
I0524,Ch,-2.22936,26.7403,126.873,-3.702953879,26.63292312,125.1422988
I0524,Prn,15.1541,57.9812,149.746,15.1541,57.9812,149.746
J9181,Ft,-59.0399,42.8747,70.0848,-58.81027488,42.98120865,69.87610064
J9181,Ex,-49.9842,15.7961,72.1556,-50.72760751,13.68906779,72.91806043
J9181,En,-21.345,11.9755,77.4527,-21.6545148,11.49790634,77.08748397
J9181,Al,-26.1955,-25.6077,79.4584,-26.56261169,-26.03011009,77.45144419
J9181,Sbal,-19.2989,-28.8163,84.5421,-19.23997,-29.4729301,84.75703665
J9181,Ch,-32.1961,-49.7931,73.2422,-32.96898489,-49.87505714,72.84794116
J9181,Prn,-7.54149,-20.9863,99.0729,-7.54149,-20.9863,99.0729
K9090,Ft,-39.8156,51.6064,84.1709,-40.62838731,50.88903997,84.38848087
K9090,Ex,-26.2623,25.324,96.9201,-26.28077949,24.83889758,98.86114626
K9090,En,3.21928,25.1457,106.892,1.582059472,25.61927453,107.1650266
K9090,Al,7.257,-18.072,110.958,6.89964002,-17.83426766,112.0839192
K9090,Sbal,13.6468,-22.7943,117.717,13.04729754,-21.72568594,119.7008472
K9090,Ch,-3.29087,-44.5294,101.62,-3.345267989,-44.68355766,100.3436007
K9090,Prn,23.5844,-14.6895,140.247,23.5844,-14.6895,140.247
L5219,Ft,-84.9682,118.806,-35.5829,-85.07591873,118.167369,-34.71568507
L5219,Ex,-68.5692,94.2617,-10.165,-67.48944097,93.18032838,-9.18989214
L5219,En,-32.2197,85.6284,0.814058,-30.52251526,86.13972538,0.266490925
L5219,Al,-36.5353,47.6018,0.443613,-38.2799641,47.989491,0.126666498
L5219,Sbal,-28.5915,45.7843,9.45313,-28.41473609,45.75796557,9.57894644
L5219,Ch,-42.5883,20.1066,-1.62202,-41.86640594,19.5034166,-1.447578897
L5219,Prn,-16.1274,53.7159,23.1102,-16.1274,53.7159,23.1102
M4220,Ft,-69.8894,98.7672,-7.03305,-71.02928584,97.66666213,-9.015253136
M4220,Ex,-51.5021,75.9066,15.6924,-51.4164268,75.28634231,13.81013552
M4220,En,-20.0594,72.2959,25.2269,-19.0508756,72.9531454,24.82515133
M4220,Al,-21.5123,39.9586,25.3064,-21.94739327,41.73032573,24.90390738
M4220,Sbal,-10.42,32.0571,31.4277,-11.29234308,31.72080065,31.05420705
M4220,Ch,-29.3023,8.35882,19.9511,-28.75459865,8.432116599,18.49157823
M4220,Prn,2.32508,42.5594,48.005,2.32508,42.5594,48.005
N7668,Ft,-58.8598,75.6289,37.5833,-59.93366213,73.08756471,37.35287546
N7668,Ex,-38.6885,53.692,54.4678,-37.74895766,54.04372514,55.80412538
